"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Santa Catarina";"Total";"22,5";"10,4";"8,2";"11,1"
"Santa Catarina";"Urbana";"-";"-";"-";"-"
"Santa Catarina";"Rural";"-";"-";"-";"-"
"Rio Grande do Sul";"Total";"20,7";"10,7";"6,7";"8,1"
"Rio Grande do Sul";"Urbana";"-";"-";"-";"-"
"Rio Grande do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso do Sul";"Total";"15,1";"10,3";"8,1";"13,4"
"Mato Grosso do Sul";"Urbana";"-";"-";"-";"-"
"Mato Grosso do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso";"Total";"22,4";"12,3";"11,8";"16,8"
"Mato Grosso";"Urbana";"-";"-";"-";"-"
"Mato Grosso";"Rural";"-";"-";"-";"-"
"Goiás";"Total";"21,5";"11,8";"10,9";"12,4"
"Goiás";"Urbana";"-";"-";"-";"-"
"Goiás";"Rural";"-";"-";"-";"-"
"Distrito Federal";"Total";"20,1";"13,4";"12,4";"19,7"
"Distrito Federal";"Urbana";"-";"-";"-";"-"
"Distrito Federal";"Rural";"-";"-";"-";"-"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Notas"
"A classificação ""Situação do domicílio"" está disponível apenas para o nível territorial Brasil."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
